location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
3246957,Belgrade BIG Fashion Park,pm1,36.62291622,?æg/m??,2024-11-11T07:00:00Z,2024-11-11T08:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,35.35208384,?æg/m??,2024-11-11T08:00:00Z,2024-11-11T09:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,34.36805598,?æg/m??,2024-11-11T09:00:00Z,2024-11-11T10:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,34.06287887,?æg/m??,2024-11-11T10:00:00Z,2024-11-11T11:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,33.70208327,?æg/m??,2024-11-11T11:00:00Z,2024-11-11T12:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,34.00208346,?æg/m??,2024-11-11T12:00:00Z,2024-11-11T13:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,32.98333359,?æg/m??,2024-11-11T13:00:00Z,2024-11-11T14:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,31.61458381,?æg/m??,2024-11-11T14:00:00Z,2024-11-11T15:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,31.88958327,?æg/m??,2024-11-11T15:00:00Z,2024-11-11T16:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,32.1583333,?æg/m??,2024-11-11T16:00:00Z,2024-11-11T17:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,29.41111104,?æg/m??,2024-11-11T17:00:00Z,2024-11-11T18:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,30.40833346,?æg/m??,2024-11-11T18:00:00Z,2024-11-11T19:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,31.12916644,?æg/m??,2024-11-11T19:00:00Z,2024-11-11T20:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,27.08958308,?æg/m??,2024-11-11T20:00:00Z,2024-11-11T21:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,29.74583324,?æg/m??,2024-11-11T21:00:00Z,2024-11-11T22:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
